,entity_id,entity_name,exchange,exchange_ticker,industry_classification,primary_industry,2nd_level_primary_industry
0,SP_ENTITY_ID,SP_ENTITY_NAME,SP_EXCHANGE,SP_EXCHANGE_TICKER,IQ_INDUSTRY_CLASSIFICATION,268194,MI_LEVEL_2_PRIMARY
1,4351841,0187279 B.C. Ltd. (OTCEM:LNXG.F),OTCEM,OTCEM:LNXG.F,Metals and Mining,Gold,Metals and Mining
2,20316170,1111 Exploration Corp. (CNSX:ELVN),CNSX,CNSX:ELVN,Metals and Mining,Diversified Metals and Mining,Metals and Mining
3,4350430,1844 Resources Inc. (TSXV:EFF),TSXV,TSXV:EFF,Metals and Mining,Diversified Metals and Mining,Metals and Mining
4,10803812,1911 Gold Corporation (TSXV:AUMB),TSXV,TSXV:AUMB,Metals and Mining,Gold,Metals and Mining
5,4980045,1st NRG Corp. (OTCEM:FNRC),OTCEM,OTCEM:FNRC,Energy,Oil and Gas Exploration and Production,"Oil, Gas and Coal"
6,4985151,20 Microns Limited (NSEI:20MICRONS),NSEI,NSEI:20MICRONS,Chemicals,Specialty Chemicals,Chemicals
7,29181633,29Metals Limited (ASX:29M),ASX,ASX:29M,Metals and Mining,Diversified Metals and Mining,Metals and Mining
8,4984760,2S Metal Public Company Limited (SET:2S),SET,SET:2S,Metals and Mining,Steel,Metals and Mining
9,4351034,37 Capital Inc. (CNSX:JJJ.X),CNSX,CNSX:JJJ.X,Metals and Mining,Diversified Metals and Mining,Metals and Mining
10,6403147,3D Oil Limited (ASX:TDO),ASX,ASX:TDO,Energy,Oil and Gas Exploration and Production,"Oil, Gas and Coal"
11,7163456,3R Petroleum Óleo e Gás S.A. (BOVESPA:RRRP3),BOVESPA,BOVESPA:RRRP3,Energy,Oil and Gas Exploration and Production,"Oil, Gas and Coal"
12,20708163,55 North Mining Inc. (CNSX:FFF),CNSX,CNSX:FFF,Metals and Mining,Gold,Metals and Mining
13,6329916,5E Advanced Materials Inc. (ASX:5EA),ASX,ASX:5EA,Metals and Mining,Diversified Metals and Mining,Metals and Mining
14,4750650,5N Plus Inc. (TSX:VNP),TSX,TSX:VNP,Chemicals,Specialty Chemicals,Chemicals
15,29247693,79 Resources Ltd. (CNSX:SNR),CNSX,CNSX:SNR,Metals and Mining,Diversified Metals and Mining,Metals and Mining
16,9749552,79North Inc. (CNSX:JQ),CNSX,CNSX:JQ,Metals and Mining,Gold,Metals and Mining
17,4978897,88 Energy Limited (ASX:88E),ASX,ASX:88E,Energy,Oil and Gas Exploration and Production,"Oil, Gas and Coal"
18,26159247,92 Energy Limited (ASX:92E),ASX,ASX:92E,Energy,Coal and Consumable Fuels,"Oil, Gas and Coal"
19,4977856,9R Limited (Catalist:1Y1),Catalist,Catalist:1Y1,Energy,Oil and Gas Equipment and Services,"Oil, Gas and Coal"
20,4982995,A Cuong Mineral Group Joint Stock Company (HOSE:ACM),HOSE,HOSE:ACM,Metals and Mining,Diversified Metals and Mining,Metals and Mining
21,4773316,A.I.S. Resources Limited (TSXV:AIS),TSXV,TSXV:AIS,Metals and Mining,Diversified Metals and Mining,Metals and Mining
22,4980119,AAG Energy Holdings Limited (SEHK:2686),SEHK,SEHK:2686,Energy,Oil and Gas Exploration and Production,"Oil, Gas and Coal"
23,9757194,Aakash Exploration Services Limited (NSEI:AAKASH),NSEI,NSEI:AAKASH,Energy,Oil and Gas Equipment and Services,"Oil, Gas and Coal"
24,4984501,Aanchal Ispat Limited (BSE:538812),BSE,BSE:538812,Metals and Mining,Steel,Metals and Mining
25,4353847,Aardvark Ventures Inc. (OTCEM:ROCA.F),OTCEM,OTCEM:ROCA.F,Metals and Mining,Diversified Metals and Mining,Metals and Mining
26,4986086,Aarti Industries Limited (BSE:524208),BSE,BSE:524208,Chemicals,Specialty Chemicals,Chemicals
27,13359820,Aarti Surfactants Limited (NSEI:AARTISURF),NSEI,NSEI:AARTISURF,Chemicals,Commodity Chemicals,Chemicals
28,5000729,AB Amber Grid (NSEL:AMG1L),NSEL,NSEL:AMG1L,Gas Utilities,Gas Utilities,Utilities
29,6906533,AB Ignitis grupe (NSEL:IGN1L),NSEL,NSEL:IGN1L,Electric Power Distribution; Electric Power Transmission and Control,Electric Utilities,Utilities
30,4980345,AB Igrene (publ) (NGM:ABI),NGM,NGM:ABI,Energy,Oil and Gas Exploration and Production,"Oil, Gas and Coal"
31,5001248,AB Inter RAO Lietuva (WSE:IRL),WSE,WSE:IRL,Electric Power Distribution,Electric Utilities,Utilities
32,5001006,AB Kauno Energija (NSEL:KNR1L),NSEL,NSEL:KNR1L,Independent Power Producers and Energy Traders,Independent Power Producers and Energy Traders,Independent Power Producers and Energy Traders
33,4980487,AB Klaipedos nafta (NSEL:KNF1L),NSEL,NSEL:KNF1L,Energy,Oil and Gas Storage and Transportation,"Oil, Gas and Coal"
34,4986120,ABA Chemicals Corporation (SZSE:300261),SZSE,SZSE:300261,Chemicals,Specialty Chemicals,Chemicals
35,4347748,Abacus Mining & Exploration Corporation (TSXV:AME),TSXV,TSXV:AME,Metals and Mining,Diversified Metals and Mining,Metals and Mining
