entity_id,entity_name,exchange,exchange_ticker,industry_classification,primary_industry,2nd_level_primary_industry,name,region,is_eu
5001248,AB Inter RAO Lietuva (WSE:IRL),WSE,WSE:IRL,Electric Power Distribution,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
4147764,"Acciona, S.A. (BME:ANA)",BME,BME:ANA,Electric Power Distribution; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Bolsas y Mercados Españoles,Spain,Y
10421857,Admie Holding S.A. (ATSE:ADMIE),ATSE,ATSE:ADMIE,Electric Power Transmission and Control,Electric Utilities,Utilities,Athens Stock Exchange,Greece,Y
5001229,CNTEE Transelectrica SA (BVB:TEL),BVB,BVB:TEL,Electric Power Transmission and Control,Electric Utilities,Utilities,Bucharest Stock Exchange,Romania,Y
4098512,"EDP - Energias de Portugal, S.A. (ENXTLS:EDP)",ENXTLS,ENXTLS:EDP,Electric Power Distribution; Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Euronext Lisbon,Netherlands,Y
4101540,Electricité de France S.A. (ENXTPA:EDF),ENXTPA,ENXTPA:EDF,Electric Power Distribution; Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Euronext Paris,France,Y
5001167,Électricite de Strasbourg Société Anonyme (ENXTPA:ELEC),ENXTPA,ENXTPA:ELEC,Electric Power Distribution,Electric Utilities,Utilities,Euronext Paris,France,Y
6933542,Elektro Ljubljana d.d. (LJSE:ELOG),LJSE,LJSE:ELOG,Electric Power Distribution,Electric Utilities,Utilities,Ljubljana Stock Exchange,Slovenia,Y
7402455,Elektro Maribor d.d. (LJSE:EMAG),LJSE,LJSE:EMAG,Electric Power Distribution,Electric Utilities,Utilities,Ljubljana Stock Exchange,Slovenia,Y
5001057,Elektrocieplownia Bedzin S.A. (WSE:BDZ),WSE,WSE:BDZ,Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
5001290,Elia Group SA/NV (ENXTBR:ELI),ENXTBR,ENXTBR:ELI,Electric Power Transmission and Control,Electric Utilities,Utilities,Euronext Brussels,Belgium,Y
4825275,EnBW Energie Baden-Württemberg AG (XTRA:EBK),XTRA,XTRA:EBK,Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control,Electric Utilities,Utilities,Deutsche Börse Xetra,Germany,Y
4098284,"Endesa, S.A. (BME:ELE)",BME,BME:ELE,Electric Power Distribution; Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Bolsas y Mercados Españoles,Spain,Y
4632323,ENEA S.A. (WSE:ENA),WSE,WSE:ENA,Electric Power Distribution; Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
4072853,Enel SpA (BIT:ENEL),BIT,BIT:ENEL,Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control,Electric Utilities,Utilities,Borsa Italiana,Italy,Y
5001099,Energa SA (WSE:ENG),WSE,WSE:ENG,Electric Power Distribution; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
13030908,E-Pango SA (ENXTPA:ALAGO),ENXTPA,ENXTPA:ALAGO,Electric Power Distribution,Electric Utilities,Utilities,Euronext Paris,France,Y
5001154,EVN AG (WBAG:EVN),WBAG,WBAG:EVN,Electric Power Distribution; Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Wiener Börse AG (Vienna Stock Exchange),Austria,Y
4306247,Fortum Oyj (HLSE:FORTUM),HLSE,HLSE:FORTUM,Electric Power Distribution; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Helsinki Stock Exchange,Finland,Y
7260934,"Holaluz-Clidom, S.A. (BME:HLZ)",BME,BME:HLZ,Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Bolsas y Mercados Españoles,Spain,Y
4102079,"Iberdrola, S.A. (BME:IBE)",BME,BME:IBE,Electric Power Distribution; Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Bolsas y Mercados Españoles,Spain,Y
5001286,Irbid District Electricity Co. Ltd. (ASE:IREL),ASE,ASE:IREL,Electric Power Distribution,Electric Utilities,Utilities,Athens Stock Exchange,Greece,Y
5001102,Jersey Electricity plc (LSE:JEL),LSE,LSE:JEL,Electric Power Distribution; Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,London Stock Exchange,United Kingdom,Y
5001190,Jordan Electric Power Company (ASE:JOEP),ASE,ASE:JOEP,Electric Power Distribution,Electric Utilities,Utilities,Athens Stock Exchange,Greece,Y
5001261,Lechwerke AG (DB:LEC),DB,DB:LEC,Electric Power Distribution,Electric Utilities,Utilities,Deutsche Börse,Germany,Y
23328213,MAST Energy Developments PLC (LSE:MAST),LSE,LSE:MAST,Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,London Stock Exchange,United Kingdom,Y
4999337,MINT Société anonyme (ENXTPA:ALBUD),ENXTPA,ENXTPA:ALBUD,Electric Power Distribution,Electric Utilities,Utilities,Euronext Paris,France,Y
5001281,OPG Power Ventures Plc (AIM:OPG),AIM,AIM:OPG,Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,AIM London Stock Exchange,United Kingdom,Y
5001189,PGE Polska Grupa Energetyczna S.A. (WSE:PGE),WSE,WSE:PGE,Electric Power Distribution; Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
4157528,Public Power Corporation S.A. (ATSE:PPC),ATSE,ATSE:PPC,Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control,Electric Utilities,Utilities,Athens Stock Exchange,Greece,Y
5001070,"Red Eléctrica Corporación, S.A. (BME:RED)",BME,BME:RED,Electric Power Transmission and Control,Electric Utilities,Utilities,Bolsas y Mercados Españoles,Spain,Y
5001135,S.N. Nuclearelectrica S.A. (BVB:SNN),BVB,BVB:SNN,Electric Power Transmission and Control,Electric Utilities,Utilities,Bucharest Stock Exchange,Romania,Y
5001096,Societatea Energetica Electrica S.A. (BVB:EL),BVB,BVB:EL,Electric Power Distribution,Electric Utilities,Utilities,Bucharest Stock Exchange,Romania,Y
4093924,SSE plc (LSE:SSE),LSE,LSE:SSE,Electric Power Distribution; Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,London Stock Exchange,United Kingdom,Y
4511210,TAURON Polska Energia S.A. (WSE:TPE),WSE,WSE:TPE,Electric Power Distribution; Electric Power Transmission and Control; Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Warsaw Stock Exchange,Poland,Y
5001246,Terna - Rete Elettrica Nazionale Società per Azioni (BIT:TRN),BIT,BIT:TRN,Electric Power Transmission and Control,Electric Utilities,Utilities,Borsa Italiana,Italy,Y
7130911,Toplofikatsia Ruse EAD (BUL:TPLR),BUL,BUL:TPLR,Electric Power Generation By Fossil Fuels,Electric Utilities,Utilities,Bulgarian Stock Exchange,Bulgaria,Y
